               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                   0            0.046115            0.073007            0.017379              0.7314             0.62809             0.71063             0.46852            0.040827            0.036851           0.0097822               7e-05               7e-05             0.09937
                   1            0.045076            0.066175             0.01684             0.70807             0.65735             0.72577             0.47586            0.040694            0.036653           0.0095475             0.00015             0.00015             0.09865
                   2            0.046016            0.063441            0.016974             0.74224              0.6312             0.72469             0.48184            0.040449            0.036389           0.0092426             0.00023             0.00023             0.09793
                   3            0.043549            0.063576            0.017597             0.78909             0.61765             0.73191             0.48302            0.040282            0.036241           0.0089717          0.00030999          0.00030999             0.09721
                   4             0.04404            0.063312            0.016335             0.71642             0.67101             0.74024             0.49319            0.040036            0.036029           0.0086533          0.00038999          0.00038999             0.09649
                   5            0.045208            0.062716            0.016775             0.70767             0.68645             0.74626             0.49524            0.039799            0.035865           0.0083865          0.00046997          0.00046997             0.09577
                   6            0.043947            0.064411            0.015644             0.77261             0.65976             0.75406             0.50363            0.039631            0.035679           0.0081284          0.00054996          0.00054996             0.09505
                   7            0.042895            0.063759            0.017312             0.80742             0.64673             0.75714             0.50553            0.039378            0.035427            0.007776          0.00062993          0.00062993             0.09433
                   8            0.044513            0.064056            0.014873             0.73865             0.70222             0.76531             0.51239             0.03907            0.035224           0.0074912           0.0007099           0.0007099             0.09361
                   9            0.043943            0.061289            0.014986             0.76487             0.68345             0.76995             0.51893            0.038896            0.034935           0.0073435          0.00078986          0.00078986             0.09289
                  10            0.042033            0.061063            0.015162               0.768             0.70765             0.77466             0.52418            0.038773            0.034521            0.007177          0.00086981          0.00086981             0.09217
                  11            0.041825            0.054871            0.013899              0.7096             0.74898             0.77718               0.528             0.03855            0.034094           0.0068836          0.00094974          0.00094974             0.09145
                  12            0.042479            0.059724            0.013379             0.79502             0.70185             0.78419             0.52581            0.038588            0.033852           0.0066458           0.0010297           0.0010297             0.09073
                  13            0.039782            0.056752             0.01245             0.78043             0.71174             0.78091             0.53055            0.038237            0.033716           0.0064642           0.0011096           0.0011096             0.09001
                  14            0.042175             0.05516            0.013569             0.83354             0.69265              0.7938             0.54547            0.037922            0.033251           0.0063077           0.0011895           0.0011895            0.089289
                  15            0.041123            0.055456            0.012867             0.85296             0.69114             0.80489             0.55611            0.037637            0.032812           0.0060716           0.0012694           0.0012694            0.088569
                  16             0.04312            0.065121            0.011701             0.82585             0.71242             0.80882             0.55584            0.037396            0.032591           0.0058601           0.0013492           0.0013492            0.087849
                  17            0.041413            0.060193            0.011902             0.79967             0.72903              0.8152             0.55885            0.037175            0.032381           0.0055933           0.0014291           0.0014291            0.087129
                  18            0.042414            0.055839            0.012651             0.86057             0.69165             0.81622             0.55535            0.037236            0.032409           0.0054579           0.0015089           0.0015089            0.086409
