               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                   0            0.046113             0.07301            0.017378             0.73132              0.6281             0.71071             0.46789            0.040827             0.03685           0.0097814               7e-05               7e-05             0.09937
                   1            0.045077            0.066169             0.01684             0.70599             0.65633             0.72489             0.47453            0.040695            0.036656           0.0095466             0.00015             0.00015             0.09865
                   2            0.046015            0.063431            0.016974              0.7428             0.63121             0.72455             0.48308            0.040447            0.036395           0.0092414          0.00022998          0.00022998             0.09793
                   3            0.043548            0.063576            0.017597             0.78517             0.61861             0.73204             0.48227            0.040281             0.03624           0.0089692          0.00030993          0.00030993             0.09721
                   4            0.044038            0.063319            0.016337             0.72816             0.66145             0.74044             0.49073            0.040035            0.036034           0.0086539          0.00038985          0.00038985             0.09649
                   5            0.045211            0.062715            0.016778             0.70753             0.68644             0.74636             0.49526            0.039803            0.035867           0.0083861          0.00046971          0.00046971             0.09577
                   6             0.04395             0.06441            0.015646             0.77104             0.66066             0.75454             0.50394            0.039636            0.035678           0.0081253          0.00054951          0.00054951             0.09505
                   7            0.042896            0.063758            0.017316             0.80737             0.64754             0.75813             0.50509            0.039385            0.035432           0.0077753          0.00062924          0.00062924            0.094329
                   8            0.044516            0.064047            0.014872             0.73934              0.7011              0.7651             0.51159            0.039074            0.035231           0.0074934          0.00070888          0.00070888            0.093609
                   9            0.043948            0.061296             0.01499             0.76576             0.68345             0.76971              0.5176            0.038891            0.034948           0.0073426          0.00078842          0.00078842            0.092888
                  10            0.042037            0.061061            0.015166             0.76931             0.70892             0.77457             0.52376            0.038768            0.034533           0.0071804          0.00086786          0.00086786            0.092168
                  11             0.04182            0.054872            0.013897             0.75578             0.71648             0.77762             0.52644            0.038537            0.034114           0.0068825          0.00094717          0.00094717            0.091447
                  12            0.042483             0.05975            0.013381             0.79945             0.70096             0.78425             0.52617            0.038604            0.033864           0.0066501           0.0010263           0.0010263            0.090726
                  13            0.039792            0.056755            0.012452             0.78615             0.70919             0.78526             0.53462            0.038247            0.033699            0.006475           0.0011054           0.0011054            0.090005
                  14            0.042181            0.055165            0.013584             0.83791             0.69118             0.79245             0.54482            0.037924            0.033259           0.0063161           0.0011843           0.0011843            0.089284
                  15            0.041124            0.055468            0.012871             0.85947              0.6885             0.80339             0.55496            0.037645            0.032823           0.0060833            0.001263            0.001263            0.088563
                  16            0.043113             0.06514            0.011708             0.82404             0.71114             0.80758             0.55434            0.037395            0.032599           0.0058724           0.0013415           0.0013415            0.087841
